analysis,period,threshold_ug_m3,n_pairs,observed_exceedances,modeled_exceedances,true_positive,false_negative,false_positive,true_negative,observed_prevalence_percent,modeled_prevalence_percent,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,precision_ppv,precision_ci95_low,precision_ci95_high,negative_predictive_value,accuracy,balanced_accuracy,f1_score,critical_success_index,false_negative_rate,false_positive_rate,frequency_bias
primary_qc,2008,12.0,10140,5279,5540,4146,1133,1394,3467,52.061143984220905,54.63510848126233,0.7853760181852624,0.7740954227234553,0.7962415869116211,0.7132277309195639,0.7003496805188594,0.7257690363082507,0.7483754512635379,0.7367790815711147,0.7596276105108438,0.753695652173913,0.7507889546351085,0.7493018745524131,0.7664294297069969,0.6213097557320546,0.21462398181473763,0.2867722690804361,1.0494411820420535
primary_qc,2008,35.0,10140,504,832,301,203,531,9105,4.970414201183432,8.205128205128204,0.5972222222222222,0.5538240128793008,0.6391495978762585,0.9448941469489415,0.9401582491504288,0.9492754657738534,0.36177884615384615,0.3298322387139304,0.3949959597765923,0.978190803609798,0.9276134122287969,0.7710581845855818,0.4505988023952096,0.29082125603864734,0.4027777777777778,0.05510585305105853,1.6507936507936507
primary_qc,2009,12.0,12392,4453,3580,2364,2089,1216,6723,35.934473854099416,28.8896061975468,0.5308780597350101,0.5162001683097203,0.5455027220759671,0.8468320947222572,0.8387422583207383,0.8545864488617975,0.6603351955307263,0.6446570461258211,0.6756696237871286,0.7629369042215162,0.7332956746287927,0.6888550772286337,0.5885721399228184,0.4170047627447522,0.4691219402649899,0.1531679052777428,0.8039523916460813
primary_qc,2009,35.0,12392,110,114,9,101,105,12177,0.8876694641704326,0.9199483537766302,0.08181818181818182,0.043640646278655146,0.1482179177889003,0.9914509037616024,0.9896620528014274,0.9929324272317522,0.07894736842105263,0.04208861457422707,0.14325751945427112,0.9917739045447141,0.9833763718528082,0.5366345427898921,0.08035714285714286,0.04186046511627907,0.9181818181818182,0.008549096238397655,1.0363636363636364
primary_qc,2010,12.0,15125,4902,4566,2684,2218,1882,8341,32.4099173553719,30.188429752066114,0.547531619747042,0.5335663093368166,0.5614224920567004,0.8159053115523819,0.8082743651100782,0.823298934036853,0.5878230398598335,0.573477751939175,0.6020206777606084,0.789942229377782,0.7289256198347107,0.681718465649712,0.5669623996620194,0.3956367924528302,0.452468380252958,0.18409468844761812,0.9314565483476133
primary_qc,2010,35.0,15125,88,127,8,80,119,14918,0.5818181818181818,0.8396694214876034,0.09090909090909091,0.046786421476167094,0.16925390579510832,0.9920861874044025,0.9905388880395204,0.9933821273183759,0.06299212598425197,0.03226168842199796,0.11938335588987399,0.9946659554607281,0.9868429752066116,0.5414976391567466,0.07441860465116279,0.03864734299516908,0.9090909090909091,0.007913812595597525,1.4431818181818181
primary_qc,2011,12.0,16360,5985,2257,1799,4186,458,9917,36.58312958435208,13.795843520782396,0.30058479532163745,0.2890994496304983,0.31232596521592504,0.955855421686747,0.9517311758382275,0.9596422214267487,0.797075764288879,0.7799854008562719,0.8131565882770555,0.7031837197759342,0.7161369193154035,0.6282201085041922,0.43654452802717786,0.27921775570386465,0.6994152046783626,0.04414457831325301,0.377109440267335
primary_qc,2011,35.0,16360,218,26,14,204,12,16130,1.332518337408313,0.1589242053789731,0.06422018348623854,0.03863652350327944,0.10489597484019002,0.9992565976954528,0.998700949077212,0.9995746775668558,0.5384615384615384,0.35457938746858797,0.7124414646960878,0.9875107138484144,0.9867970660146699,0.5317383905908457,0.11475409836065574,0.06086956521739131,0.9357798165137615,0.0007434023045471441,0.11926605504587157
primary_qc,2012,12.0,17977,5118,2344,1520,3598,824,12035,28.469711297769372,13.03888301718863,0.29699101211410706,0.28462860595395234,0.3096579379176223,0.9359203670580916,0.9315560476464013,0.940024313185307,0.6484641638225256,0.6289070906330488,0.6675354129206607,0.7698458389304677,0.754019024308839,0.6164556895860993,0.4073974805682123,0.2558061258835409,0.7030089878858929,0.0640796329419084,0.4579914028917546
primary_qc,2012,35.0,17977,52,25,10,42,15,17910,0.28925849696834843,0.13906658508093675,0.19230769230769232,0.10796046024733509,0.3189886081365802,0.999163179916318,0.9986196660148768,0.9994927910059282,0.4,0.23403302377747973,0.5926054264103301,0.9976604278074866,0.9968292818601546,0.5957354361120052,0.2597402597402597,0.14925373134328357,0.8076923076923077,0.0008368200836820083,0.4807692307692308
