feature,bin,bin_lower,bin_upper,bin_midpoint,n,ale_effect_ug_m3
cmaq_fire_pm25,0,-0.1843250224833545,0.0005282350765534103,-0.09189839370340054,1000,-11.91399919437782
cmaq_fire_pm25,1,0.0005282350765534103,0.006482534886574701,0.0035053849815640556,1000,-12.011458720762166
cmaq_fire_pm25,2,0.006482534886574701,0.018006457163521346,0.012244496025048023,1000,-12.095050074655836
cmaq_fire_pm25,3,0.018006457163521346,0.034966138562441906,0.026486297862981626,1000,-12.186405472253181
cmaq_fire_pm25,4,0.034966138562441906,0.058705078105989655,0.04683560833421578,1000,-12.161887814326642
cmaq_fire_pm25,5,0.058705078105989655,0.08736863028687498,0.07303685419643233,1000,-12.16155115935491
cmaq_fire_pm25,6,0.08736863028687498,0.12433556026028945,0.10585209527358222,1000,-12.166109767596028
cmaq_fire_pm25,7,0.12433556026028945,0.1706876611984984,0.14751161072939392,1000,-12.209172671381232
cmaq_fire_pm25,8,0.1706876611984984,0.22861572847841072,0.19965169483845457,1000,-12.14738286534257
cmaq_fire_pm25,9,0.22861572847841072,0.305982967803914,0.26729934814116235,1000,-12.118557750422957
cmaq_fire_pm25,10,0.305982967803914,0.41849199960039196,0.362237483702153,1000,-12.111520489495403
cmaq_fire_pm25,11,0.41849199960039196,0.5698934464507781,0.49419272302558503,1000,-12.087070155495152
cmaq_fire_pm25,12,0.5698934464507781,0.7744677867073357,0.6721806165790569,1000,-12.030067271860773
cmaq_fire_pm25,13,0.7744677867073357,1.0606553645527899,0.9175615756300628,1000,-11.980033754084007
cmaq_fire_pm25,14,1.0606553645527899,1.512001862823893,1.2863286136883414,1000,-11.854572890924073
cmaq_fire_pm25,15,1.512001862823893,2.198385007191865,1.855193435007879,1000,-11.620143315827999
cmaq_fire_pm25,16,2.198385007191865,3.2565223281656372,2.727453667678751,1000,-11.047140047243943
cmaq_fire_pm25,17,3.2565223281656372,5.268490082065342,4.262506205115489,1000,-9.87491423708849
cmaq_fire_pm25,18,5.268490082065342,10.9041471918596,8.08631863696247,1000,-6.019962318021797
cmaq_fire_pm25,19,10.9041471918596,493.1243540888887,252.01425064037414,1000,219.79699997051497
longitude,0,-123.20655,-122.52,-122.86327499999999,754,-0.5414225762372069
longitude,1,-122.52,-122.2271,-122.37355,1155,0.6996864220274985
longitude,2,-122.2271,-121.99887,-122.112985,1068,1.0671717903872693
longitude,3,-121.99887,-121.7734,-121.886135,983,1.461063090078459
longitude,4,-121.7734,-121.59135,-121.68237500000001,1034,1.8145517147768107
longitude,5,-121.59135,-121.36801,-121.47968,960,2.2459628443858417
longitude,6,-121.36801,-121.265,-121.316505,907,1.507401279498526
longitude,7,-121.265,-120.94438,-121.10469,1068,0.3990596954696548
longitude,8,-120.94438,-120.668,-120.80619,1037,0.6398533780163917
longitude,9,-120.668,-120.1035,-120.38575,1016,-0.24393776190676753
longitude,10,-120.1035,-119.6435,-119.8735,988,-1.5892644682839931
longitude,11,-119.6435,-119.1432,-119.39335,934,-0.1507617959297416
longitude,12,-119.1432,-119.055,-119.09909999999999,873,-0.7167181095506454
longitude,13,-119.055,-118.5284,-118.7917,1165,-1.0377288575391064
longitude,14,-118.5284,-118.22688,-118.37764,868,1.589284331780896
longitude,15,-118.22688,-117.9385,-118.08269,1036,0.5724668098759331
longitude,16,-117.9385,-117.4924,-117.71545,1135,-2.6539317507369375
longitude,17,-117.4924,-117.331,-117.4117,1015,-1.2173958648171836
longitude,18,-117.331,-117.0722,-117.2016,990,-1.2019862127722725
longitude,19,-117.0722,-115.5392,-116.3057,1014,-2.175957864166546
