source_row_id,date,site_id,year,group_id,split_role,cv_fold,qc_status
0,2008-06-01,600100071,2008,600100071_2008,train,2,primary_included
1,2008-06-01,600120041,2008,600120041_2008,train,4,primary_included
2,2008-06-01,600740013,2008,600740013_2008,train,1,primary_included
3,2008-06-01,601110023,2008,601110023_2008,train,3,primary_included
4,2008-06-01,601950013,2008,601950013_2008,train,2,primary_included
5,2008-06-01,602100033,2008,602100033_2008,train,4,primary_included
6,2008-06-01,602900141,2008,602900141_2008,train,0,primary_included
7,2008-06-01,602900143,2008,602900143_2008,train,1,primary_included
8,2008-06-01,602900144,2008,602900144_2008,train,2,primary_included
9,2008-06-01,603100043,2008,603100043_2008,train,2,primary_included
10,2008-06-01,603700021,2008,603700021_2008,train,1,primary_included
11,2008-06-01,603700163,2008,603700163_2008,train,1,primary_included
12,2008-06-01,603710023,2008,603710023_2008,train,4,primary_included
13,2008-06-01,603711031,2008,603711031_2008,train,0,primary_included
14,2008-06-01,603711033,2008,603711033_2008,test,-1,primary_included
15,2008-06-01,603740021,2008,603740021_2008,train,4,primary_included
16,2008-06-01,604310013,2008,604310013_2008,train,0,primary_included
17,2008-06-01,605500031,2008,605500031_2008,train,2,primary_included
18,2008-06-01,605900071,2008,605900071_2008,train,1,primary_included
19,2008-06-01,605900073,2008,605900073_2008,train,2,primary_included
20,2008-06-01,606100063,2008,606100063_2008,train,4,primary_included
21,2008-06-01,606310091,2008,606310091_2008,train,1,primary_included
22,2008-06-01,606500091,2008,606500091_2008,train,2,primary_included
23,2008-06-01,606500123,2008,606500123_2008,train,3,primary_included
24,2008-06-01,606580011,2008,606580011_2008,train,4,primary_included
25,2008-06-01,606580013,2008,606580013_2008,train,3,primary_included
26,2008-06-01,606580053,2008,606580053_2008,train,4,primary_included
27,2008-06-01,606590013,2008,606590013_2008,train,2,primary_included
28,2008-06-01,606700103,2008,606700103_2008,test,-1,primary_included
29,2008-06-01,607310101,2008,607310101_2008,test,-1,primary_included
30,2008-06-01,607500051,2008,607500051_2008,train,1,primary_included
31,2008-06-01,607730053,2008,607730053_2008,test,-1,primary_included
32,2008-06-01,608110011,2008,608110011_2008,train,1,primary_included
33,2008-06-01,608500051,2008,608500051_2008,train,2,primary_included
34,2008-06-01,609500041,2008,609500041_2008,train,1,primary_included
35,2008-06-01,609500061,2008,609500061_2008,train,2,primary_included
36,2008-06-01,609900063,2008,609900063_2008,train,1,primary_included
37,2008-06-01,610100031,2008,610100031_2008,train,0,primary_included
38,2008-06-01,610100033,2008,610100033_2008,train,3,primary_included
39,2008-06-01,610720023,2008,610720023_2008,train,3,primary_included
40,2008-06-01,611300043,2008,611300043_2008,train,3,primary_included
41,2008-06-02,600100071,2008,600100071_2008,train,2,primary_included
42,2008-06-02,600120041,2008,600120041_2008,train,4,primary_included
43,2008-06-02,600740013,2008,600740013_2008,train,1,primary_included
44,2008-06-02,601110023,2008,601110023_2008,train,3,primary_included
45,2008-06-02,601300021,2008,601300021_2008,train,0,primary_included
46,2008-06-02,601790001,2008,601790001_2008,train,0,primary_included
47,2008-06-02,601900081,2008,601900081_2008,train,0,primary_included
48,2008-06-02,601900085,2008,601900085_2008,train,3,primary_included
49,2008-06-02,601950013,2008,601950013_2008,train,2,primary_included
50,2008-06-02,601990001,2008,601990001_2008,train,0,primary_included
51,2008-06-02,602100033,2008,602100033_2008,train,4,primary_included
52,2008-06-02,602500071,2008,602500071_2008,train,1,primary_included
53,2008-06-02,602510031,2008,602510031_2008,train,2,primary_included
54,2008-06-02,602701011,2008,602701011_2008,train,3,primary_included
55,2008-06-02,602710031,2008,602710031_2008,train,1,primary_included
56,2008-06-02,602900143,2008,602900143_2008,train,1,primary_included
57,2008-06-02,602900144,2008,602900144_2008,train,2,primary_included
58,2008-06-02,602900161,2008,602900161_2008,train,4,primary_included
59,2008-06-02,602990011,2008,602990011_2008,train,2,primary_included
60,2008-06-02,603100043,2008,603100043_2008,train,2,primary_included
61,2008-06-02,603700021,2008,603700021_2008,train,1,primary_included
62,2008-06-02,603700163,2008,603700163_2008,train,1,primary_included
63,2008-06-02,603710021,2008,603710021_2008,test,-1,primary_included
64,2008-06-02,603710023,2008,603710023_2008,train,4,primary_included
65,2008-06-02,603711031,2008,603711031_2008,train,0,primary_included
66,2008-06-02,603711033,2008,603711033_2008,test,-1,primary_included
67,2008-06-02,603712011,2008,603712011_2008,test,-1,primary_included
68,2008-06-02,603713011,2008,603713011_2008,train,2,primary_included
69,2008-06-02,603716021,2008,603716021_2008,train,2,primary_included
70,2008-06-02,603720051,2008,603720051_2008,train,4,primary_included
71,2008-06-02,603740021,2008,603740021_2008,train,4,primary_included
72,2008-06-02,603790341,2008,603790341_2008,train,0,primary_included
73,2008-06-02,604100021,2008,604100021_2008,test,-1,primary_included
74,2008-06-02,604300031,2008,604300031_2008,train,4,primary_included
75,2008-06-02,604310013,2008,604310013_2008,train,0,primary_included
76,2008-06-02,605190001,2008,605190001_2008,train,1,primary_included
77,2008-06-02,605500031,2008,605500031_2008,train,2,primary_included
78,2008-06-02,605710011,2008,605710011_2008,train,2,primary_included
79,2008-06-02,605900071,2008,605900071_2008,train,1,primary_included
80,2008-06-02,605900073,2008,605900073_2008,train,2,primary_included
81,2008-06-02,605920221,2008,605920221_2008,train,1,primary_included
82,2008-06-02,606100063,2008,606100063_2008,train,4,primary_included
